"Activity Id","Day","Hour","Students Sets","Subject","Teachers","Activity Tags","Room","Comments"
"2","Thursday","09:30","TE01-2","E5051-EE102-3-FISIKA DASAR II","BMY+AGF","","405.1.04.132 - RUANG TE",""
"2","Thursday","10:20","TE01-2","E5051-EE102-3-FISIKA DASAR II","BMY+AGF","","405.1.04.132 - RUANG TE",""
"2","Thursday","11:10","TE01-2","E5051-EE102-3-FISIKA DASAR II","BMY+AGF","","405.1.04.132 - RUANG TE",""
"3","Wednesday","13:50","TE02-2","E5051-EE102-3-FISIKA DASAR II","AIP","","405.1.04.124 - RUANG PTE",""
"3","Wednesday","14:40","TE02-2","E5051-EE102-3-FISIKA DASAR II","AIP","","405.1.04.124 - RUANG PTE",""
"3","Wednesday","15:30","TE02-2","E5051-EE102-3-FISIKA DASAR II","AIP","","405.1.04.124 - RUANG PTE",""
"4","Thursday","07:00","TE01-2","E5051-EE104-3-MATEMATIKA TEKNIK I","WWP+STA","","405.1.04.133 - RUANG PTOIR",""
"4","Thursday","07:50","TE01-2","E5051-EE104-3-MATEMATIKA TEKNIK I","WWP+STA","","405.1.04.133 - RUANG PTOIR",""
"4","Thursday","08:40","TE01-2","E5051-EE104-3-MATEMATIKA TEKNIK I","WWP+STA","","405.1.04.133 - RUANG PTOIR",""
"5","Monday","07:00","TE02-2","E5051-EE104-3-MATEMATIKA TEKNIK I","AIP+STA","","405.1.04.124 - RUANG PTE",""
"5","Monday","07:50","TE02-2","E5051-EE104-3-MATEMATIKA TEKNIK I","AIP+STA","","405.1.04.124 - RUANG PTE",""
"5","Monday","08:40","TE02-2","E5051-EE104-3-MATEMATIKA TEKNIK I","AIP+STA","","405.1.04.124 - RUANG PTE",""
"6","Tuesday","07:00","TE01-2","E5051-EE106-3-RANGKAIAN LISTRIK I","INK","","405.1.04.133 - RUANG PTOIR",""
"6","Tuesday","07:50","TE01-2","E5051-EE106-3-RANGKAIAN LISTRIK I","INK","","405.1.04.133 - RUANG PTOIR",""
"6","Tuesday","08:40","TE01-2","E5051-EE106-3-RANGKAIAN LISTRIK I","INK","","405.1.04.133 - RUANG PTOIR",""
"7","Wednesday","09:30","TE02-2","E5051-EE106-3-RANGKAIAN LISTRIK I","JKR","","405.1.04.124 - RUANG PTE",""
"7","Wednesday","10:20","TE02-2","E5051-EE106-3-RANGKAIAN LISTRIK I","JKR","","405.1.04.124 - RUANG PTE",""
"7","Wednesday","11:10","TE02-2","E5051-EE106-3-RANGKAIAN LISTRIK I","JKR","","405.1.04.124 - RUANG PTE",""
"8","Wednesday","07:50","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","Praktikum","Lab-ELDAS",""
"8","Wednesday","08:40","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","Praktikum","Lab-ELDAS",""
"8","Wednesday","09:30","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","Praktikum","Lab-ELDAS",""
"8","Wednesday","10:20","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","Praktikum","Lab-ELDAS",""
"8","Wednesday","11:10","TE01-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","MMS+HSB","Praktikum","Lab-ELDAS",""
"9","Thursday","07:50","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","Praktikum","Lab-ELDAS",""
"9","Thursday","08:40","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","Praktikum","Lab-ELDAS",""
"9","Thursday","09:30","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","Praktikum","Lab-ELDAS",""
"9","Thursday","10:20","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","Praktikum","Lab-ELDAS",""
"9","Thursday","11:10","TE02-2","E5051-EE108-2-PRAKTIKUM DASAR KELISTRIKAN","SSE+MMS","Praktikum","Lab-ELDAS",""
"11","Tuesday","07:00","TE01-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+REP","","02.03.04 - RUANG TE LAMA",""
"11","Tuesday","07:50","TE01-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+REP","","02.03.04 - RUANG TE LAMA",""
"11","Tuesday","08:40","TE01-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+REP","","02.03.04 - RUANG TE LAMA",""
"12","Wednesday","13:00","TE02-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+TLH","","02.03.04 - RUANG TE LAMA",""
"12","Wednesday","13:50","TE02-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+TLH","","02.03.04 - RUANG TE LAMA",""
"12","Wednesday","14:40","TE02-4","E5051-EE202-2-MATERIAL ELEKTROTEKNIK","BMY+TLH","","02.03.04 - RUANG TE LAMA",""
"13","Tuesday","15:30","TE01-4","E5051-EE205-2-EKONOMI TEKNIK","BTM+BCH","","02.03.01 - RUANG PTOIR LAMA",""
"13","Tuesday","16:20","TE01-4","E5051-EE205-2-EKONOMI TEKNIK","BTM+BCH","","02.03.01 - RUANG PTOIR LAMA",""
"14","Monday","10:20","TE02-4","E5051-EE205-2-EKONOMI TEKNIK","BCH+BTM+AJI","","02.03.01 - RUANG PTOIR LAMA",""
"14","Monday","11:10","TE02-4","E5051-EE205-2-EKONOMI TEKNIK","BCH+BTM+AJI","","02.03.01 - RUANG PTOIR LAMA",""
"15","Monday","13:00","TE01-4","E5051-EE206-2-SINYAL DAN SISTEM","AIP","MBKM","02.03.01 - RUANG PTOIR LAMA",""
"15","Monday","13:50","TE01-4","E5051-EE206-2-SINYAL DAN SISTEM","AIP","MBKM","02.03.01 - RUANG PTOIR LAMA",""
"16","Tuesday","13:00","TE02-4","E5051-EE206-2-SINYAL DAN SISTEM","AIP","","02.03.01 - RUANG PTOIR LAMA",""
"16","Tuesday","13:50","TE02-4","E5051-EE206-2-SINYAL DAN SISTEM","AIP","","02.03.01 - RUANG PTOIR LAMA",""
